durofel,color,max_brix,Variety
77.69,2.38,22.5,13
71.6,1.011,19,3
79.4,0.833,20,5
77.44,1.349,20.5,13
77.2,0.159,21.5,13
76.92,0.211,22,13
76.5,0.835,21,5
78.42,0.968,20,13
72.89,1.878,20,3
79.51,0.018,20,5
79.51,0.18,20,5
76.46,2.798,22,3
70.7,0.793,22,13
70.98,1.394,21,13
78,1.236,21,13
75.48,0.039,22,5
77.26,0.12,19.4,5
77.09,1.743,22,5
74.82,3.199,22,13
76.81,0.732,22.6,5
76.29,0.979,22,13
76.18,0.182,23,3
74.68,3.046,23,13
73.7,3.042,23,13
79.72,2.064,22,5
75.45,2.38,20,5
75.84,2.852,19.2,13
72.82,2.765,19.6,13
73.46,1.992,23,5
77.41,2.903,22,13
74.09,2.974,23.4,13
75.2,3.038,18,11
74.47,2.555,24,5
74.64,1.992,24,5
76.11,3.721,20,5
73.7,2.961,24.6,13
73.59,2.743,24.6,13
76.25,3.042,22,13
71.53,2.105,24,13
75.38,2.086,24,2
72.58,3.497,22.4,13
77.55,2.794,23,5
75.55,2.768,24,5
74.01,4.016,22.4,13
75.73,2.014,23,13
79.92,2.496,23.5,5
77.31,2.886,23,13
78,2.992,21.2,5
78.5,2.295,24,5
77.93,3.698,23.4,13
75.97,2.138,24,3
75.24,2.42,24,5
77.23,3.986,22.8,13
74.09,2.484,22,5
77.59,2.56,22.2,13
76.89,2.252,22,5
73.67,2.824,22.4,5
76.67,4.394,20,13
74.29,3.025,20.8,5
77.41,3.02,20.4,5
77.23,3.055,23,13
77.76,2.994,22.2,13
78.91,2.517,20.2,5
72.61,3.068,20.8,5
75.97,2.933,20,5
79.01,2.888,19.9,5
75.77,2.813,21.7,5
76.54,2.906,21.8,13
76.99,3.005,19,5
75.77,2.767,21.4,14
74.78,3.102,21,13
78.6,3.033,20,11
74.71,2.978,20,13
74.93,3.004,20,11
76.67,3.059,21.2,13
74.72,2.916,20,14
74.79,3.019,20,5
75.35,2.979,23,13
77.23,2.426,22,13
78.99,2.828,20,2
77.41,2.936,23,13
75.77,3.008,23,5
75.13,3.043,21.3,13
74.29,2.973,20,14
76.75,2.871,27,5
77.55,3.202,23,3
78.91,2.435,20,5
73.84,2.742,23,5
75.1,2.882,23,5
72.65,3.009,23,5
71.25,3.065,22,13
75.87,2.972,23,13
73.46,2.566,23,5
75.41,2.82,23,5
75.41,2.934,23,5
77.73,3.069,23,5
74.86,2.622,23,11
77.44,3.07,19.2,5
75.38,2.194,23,5
77.02,2.911,24,13
77.73,2.759,18,5
79.23,2.953,18.7,5
77.51,2.025,21,5
79.02,2.923,22,3
78.01,2.94,23,5
77.48,2.324,23,5
78.6,2.181,23,5
76.85,2.206,19,5
76.53,2.804,19,5
75.45,2.952,19,13
76.25,2.866,18.4,5
74.86,2.979,19.4,13
73.6,2.793,19.1,5
72.83,3.037,21,13
76.46,2.994,19.5,5
76.68,2.17,19.6,5
76.08,2.795,20,5
77.41,3.016,22.8,13
74.36,3.007,18.2,13
76.15,2.916,20,5
76.89,2.333,20,5
76.26,2.82,22.6,5
78.91,3.074,22.8,13
75.77,2.793,21.7,13
74.4,2.114,20,13
73.46,2.5,21,5
73.53,2.985,24,5
73.91,3.557,24.5,5
78.08,2.981,20.1,5
76.95,2.968,24,13
58.9,2.557,23,5
76.12,3.053,26,5
76.82,2.911,23,13
69.93,2.678,25,13
73.98,2.844,20,14
76.4,2.778,25,5
76.6,2.91,24,5
77.31,3.405,20.2,5
77.1,3.029,19.5,5
73.85,3.055,23,5
73.95,2.994,23,5
76.25,3.464,24,2
74.47,3.006,23,13
61.92,3.055,23,13
74.43,2.634,25,14
73.91,3.036,23,13
72.62,2.697,23,11
77.02,3.003,23,5
74.12,2.414,23,5
77.97,2.987,23,5
78.28,2.968,23,13
77.17,2.559,24,5
77.06,3.032,19.5,5
78.18,2.76,24,5
76.82,4.534,24,2
76.18,3.116,20.7,13
72.61,2.952,24,5
77.83,3,23,3
73.81,2.297,25,13
74.37,2.209,23,5
75.1,2.792,19,5
77.51,2.761,20,5
78.99,3.137,22.2,13
77.59,2.667,24,9
77.93,2.999,24.5,5
72.87,3.757,25,13
74.72,2.947,23,13
76.53,2.571,23,5
75.77,3.066,23,5
77.41,2.878,19.8,5
77.44,0.816,20,5
78.11,2.183,19,13
78.49,3.014,18.9,11
74.51,2.215,20,13
78.52,2.154,20,5
78,3.779,21.2,13
79.02,2.958,21.6,5
77.93,4.235,24.2,14
79.51,3.996,23,2
78.32,4.64,23,13
76.43,3.187,19.5,5
76.85,3.092,19.5,13
75.52,3.201,21.6,11
77.27,2.069,21.2,5
77.55,2.012,20.6,5
79.51,3.174,19.8,5
79.51,2.949,21.6,5
79.51,2.727,17.5,5
78.99,3.046,20.4,13
77.02,3.129,21.8,5
76.81,3.031,21.6,5
77.83,2.9,21,13
77.94,1.126,22,13
72.55,2.906,20,5
76.26,2.992,20,5
77.41,2.142,20,5
73.74,2.968,20,14
76.67,2.303,21.8,5
75.77,2.89,20,5
79.72,3.006,21,5
78.99,2.978,28.8,13
75,3.018,21,5
79.51,2.109,20,5
74.72,3.828,20,3
77.94,3.065,20,5
74.77,2.907,23.7,13
75.55,2.103,20,5
74.23,2.57,22.4,13
78.5,1.45,26.2,5
76.71,3.645,17.1,13
74.16,3.814,24,13
78.6,4.84,20,2
79.19,2.687,23,5
77.51,2.958,24,13
78.5,2.719,22,5
77.65,3.254,23,13
76.33,3.118,22.6,2
78.74,2.694,23,5
75.34,2.932,22,5
72.93,4.154,24,13
76.46,5.112,25,5
76.4,2.826,24,5
74.12,4.568,22,14
75.77,2.807,23,5
72.87,2.975,22,14
73.91,3.048,20,13
74.68,2.966,25,13
78.52,2.85,22,13
75.34,2.975,25,5
75.21,4.394,23,5
74.08,2.946,25,5
73.59,3.061,25,5
76.36,2.83,25,5
76.46,3.328,25,3
77.09,3.34,25,2
76.35,2.878,24,5
78.01,3.057,25,5
79.19,2.811,25,5
75.2,3.037,26,3
74.86,2.762,24,5
78.91,3.536,25,5
76.85,2.947,20,5
71.68,4.377,25,13
75.34,2.943,25,5
77.9,2.936,25,5
71.82,4.111,26,13
75.31,2.862,25,5
73.24,3.105,25,13
75.31,3.011,17,5
73.21,2.821,17.7,13
74.22,2.983,18.8,11
72.27,2.96,25,5
73.35,3.078,24,13
74.51,2.988,25,5
78.7,3.095,20,5
76.26,2.429,21.1,5
78.91,3.181,32.2,13
78.7,3.052,20,5
75.66,3.004,19,5
77.93,2.15,20,5
75.21,2.97,20,13
78.49,3.099,20,5
76.05,2.913,20.2,13
76.25,2.834,20.2,13
78.99,2.911,21.2,13
77.09,3.22,20,5
79.02,3.415,21.7,2
79.92,2.837,27.7,13
79.09,2.909,22,5
76.74,3.345,22.5,13
80,2.917,25,13
77.34,3.963,25,5
71.53,3.029,25,13
76.29,2.984,25,5
77.23,3.106,20.6,13
79.02,2.081,25,14
76.92,3.031,25,5
76.5,3.084,25,13
73.53,3.291,18.8,5
79.68,3.372,25,3
74.33,3.153,21.6,13
75.28,3.145,25,5
74.29,3.041,25,13
73.77,3.861,23.2,13
76.12,4.4,26,13
73.81,2.696,16.8,5
74.22,3.053,22,5
73.5,2.749,25,5
79.19,4.689,26,13
76.26,2.948,26.7,13
76.85,2.971,26,13
73.95,2.867,26,5
74.58,3.076,25,5
76.54,2.247,26,14
78,2.845,26,13
73.91,3.113,25,13
74.92,3.25,21.2,11
76.5,3.141,25,13
78,2.958,26,5
75.24,3.032,27,13
76.82,3.084,25,5
77.16,3.773,26,13
74.58,3.789,20.4,13
78.6,2.894,25,13
78.99,3.337,27,2
75.97,2.992,26.8,13
74.09,3.048,27,5
77.41,3.183,26,13
77.51,3.104,27,5
76.82,4.37,26,2
74.72,4.558,27,5
