durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_red,color_red_brown,color_brown,color_black,color_dark_brown,brix_red,brix_dark_brown,brix_brown,brix_black,Temperature_Outside,Temperature_Frut,Variety
21,21,32,25,6.7,0,79.6,0,13.7,0,20.6,17.1,0,28,20,3
29,39,29,4,5.4,0,61.2,7.5,25.9,0,20.2,17.5,0,27.5,20,3
0,11,61,29,3.5,0,73.7,0,22.8,0,20.2,18.6,0,28,23,3
22,22,34,22,9,0,80.2,0,10.8,0,20.8,19.2,0,27,21.3,3
4,14,64,18,5,0,87.5,0,7.5,0,19.2,0,26,20,0,3
7,11,48,33,0,88.7,0,11.3,0,17.4,28,0,19,17.6,0,13
29,18,32,21,1.9,0,93,0,5.1,0,23.7,0,19,17.4,0,3
29,29,25,18,1.1,0,88.1,0,10.8,0,17.9,16,0,20,14,3
11,14,50,25,3.7,0,92.4,0,3.9,17.9,0,19.9,0,20,17.6,5
4,11,61,25,4,0,91.4,0,4.6,0,16.4,17.8,0,20,17,3
7,7,54,32,81.3,0,16.7,0,2,20.5,0,22.8,0,21.4,14.2,5
7,11,57,25,6.8,0,80.4,1.2,11.6,0,21.8,18.4,0,21.4,17.6,12
14,18,54,14,19.7,0,71.4,0,8.9,18.5,0,24,0,23,19.5,11
4,11,71,14,2.5,0,91.4,0,6.1,0,19,18.4,0,20.8,17,3
21,29,18,32,2,0,27.6,0,70.4,0,25.5,18.2,0,208,20,3
7,29,50,14,36.1,0,63.9,0,16.8,0,17.3,0,21.4,17.8,0,13
4,4,68,25,11.1,0,79.1,0,9.8,17,0,19.5,0,22,14.9,3
7,25,39,29,6.3,0,86.4,0,7.3,18.5,0,21,0,20,14,5
11,25,25,39,11.1,0,88.9,0,16.7,0,19.3,0,21.7,20.5,0,8
28,38,10,24,0,91.5,0,8.5,0,20.4,17.8,0,21.7,17,1.7,3
14,7,54,25,1.9,0,90.1,0,8,0,18.3,0,21.9,17.9,0,3
36,21,18,25,8.1,0,44.4,3,37.3,0,21.8,18.7,0,22.3,21.8,1
46,25,4,25,0,78,0,22,0,18.1,0,23,20.2,0,0,3
57,21,7,14,1.6,0,85.5,0,12.9,0,18.4,0,22.5,14,0,3
18,18,36,29,10.9,0,76.2,0,12.9,0,26.6,21.6,0,21.8,20,13
18,18,32,32,0,84.9,0,15.1,0,26,25.6,0,23.9,20,0,13
64,11,11,14,1,0,92.3,0,6.7,0,16.4,0,26,18,0,3
4,25,54,18,3.9,0,79.8,1.8,14.5,0,24.2,0,24.2,20.5,0,3
18,11,46,25,76.6,0,23.4,0,18.2,0,20.2,0,23.5,18,0.5,14
