durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_rojo,color_rojo_caoba,color_caoba,color_negro,color_caoba_oscuro,brix_rojo,brix_caoba_oscuro,brix_caoba,brix_negro,Temperatura_Ambiente,Temperatura_Pulpa,Variety
0,5,56,39,9,25,64,0,2,0,0,21.4,0,28.6,21,1
0,17.8,46.5,35.7,0,16.2,73.6,0,10.2,0,0,22.3,0,29.4,19,1
7.1,14,64.3,14.6,0,5.9,82,0,12.1,0,0,22.1,0,27,17.6,1
7.2,10.7,50,32.1,4.4,17.4,73,0,5.2,0,0,20,0,29,27,3
0,7.6,76.9,15.5,2.8,11.1,77.1,0,9,0,0,21.5,0,29,28,3
0,9,55,36,0,6,82,0,12,0,0,20.7,0,23,20.5,3
0,4.7,83,12.2,0,0,83,0,17,0,22.2,21.6,0,28,21.9,3
0,6,50,44,3,44,43,0,10,0,0,26.6,0,30.2,27,5
3,21,35,41,0,24,76,0,0,0,0,20.6,0,29.2,22.1,5
6,11,47,36,9,29,59,0,3,0,0,22.1,0,27.1,25.2,5
0,14,54,32,6,18,76,0,0,0,0,22.7,0,27.5,23.2,5
15,15,50,21,0,32,58,3,7,0,0,21.6,0,25,15.8,5
0,6,68,26,0,45,50,0,5,0,0,23.3,0,25.6,20.6,5
3,3,76,18,0,21,76,0,3,0,0,22.8,0,27.3,20.6,5
0,6,65,29,0,32,68,0,0,0,0,20.8,0,30,24,5
3.5,11,57,28.5,20.6,63.7,15.7,0,0,15.7,0,20.6,0,27.1,24.2,1
17.8,35.7,10.8,35.7,11.3,54.9,33.8,0,0,15.7,0,20.5,0,29.2,28.8,1
7.1,7.1,75.1,10.7,0,1.5,89.8,0,8.7,0,0,22.7,0,20,16.3,5
0,17.9,64.2,17.9,0,10,81.6,0,8.4,0,0,22.1,0,19.5,14,5
0,7,82,11,0,6,79,0,15,0,22.6,21.1,0,24,19.6,13
0,3,88,9,0,15,82,0,3,0,0,26.1,0,26.2,20.3,13
3,9,79,9,0,23,77,0,0,0,0,22.7,0,28.1,23,13
7,11,68,14,0,14.2,73.5,0,12.3,0,0,23.2,0,25.4,19.6,5
0,3,79,18,12,32,47,3,6,0,0,20.9,0,28,22.7,5
0,3,82,15,0,0,65,0,35,0,22.4,18.9,0,30,22.7,5
0,3,91,6,0,9,59,0,32,0,22.8,20.5,0,21.7,20.7,5
0,12,59,29,0,0,64,3,33,0,23.4,21.6,0,27,17.7,5
10.7,10.7,46.4,32.2,0.7,13.2,82.6,0,3.5,0,0,20.4,0,22.5,21.3,1
14.3,25,32.1,28.6,1.8,15.4,72.8,0,10,0,0,20.9,0,28.2,26,1
6.9,20.7,48.3,24.1,2.3,27.3,65.4,0,5,0,0,20.9,0,24,17.4,1
3.6,21.4,50,25,1.5,35.6,60,0,2.9,0,0,20.4,0,28.7,20,1
0,3,91,6,0,0,26,3,71,0,24.2,23.9,0,32,20.5,15
3,3,88,6,0,0,26,0,74,0,23.3,22.5,0,23,21.3,15
3,6,79,12,0,0,15,20,65,0,24.3,0,25.9,31.1,19,15
3.6,10.7,57.1,28.6,0.4,9.4,81.7,0,8.5,0,0,20.9,0,25,18.5,3
0,10.7,75,14.3,0,9,71,0,20,0,0,21.2,0,27.4,24.5,3
10.7,14.3,46.4,28.6,1.9,18.2,74.9,0,5,0,0,21.9,0,30,25,3
0,10.7,75.1,14.2,0,20.6,69.6,0,9.8,0,0,21.1,0,19.5,15.1,3
14.3,17.9,42.8,25,0,12,79,0,9,0,0,23.9,0,22.3,18.7,3
0,6,66,28,18,21,56,0,5,0,0,21.4,0,27,23,5
